Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,LatB,LongB,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,,AddressBR,LatBR,LongBR,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,,AddressM,LatM,LongM,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,,AddressQ,LatQ,LongQ,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,,LatQ,LongQ
bronx,BRONX,3,11-11546,2745,41,Private,40927,BETWEEN 1147 & 1153 HOE AVENUE,,,,,,,,bronx,BRONX,3,11-11546,2745,41,Private,40927,1147 & 1153 HOE AVENUE,40.827623,-73.881051,,,,,,brooklyn,BROOKLYN,3,11-11880,1871,43,City,41183,446 HERKIMER STREET,40.6788947,-73.9387605,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,13,11-11959,13266,39,City,41030,NEAR 246-19 SUNRISE HWY,40.6656178,-73.7325409,,,,,,,,staten island,STATEN ISLAND,1,11-11870,2922,121,City,40934,200 OSGOOD AVENUE,40.616584,-74.079955
bronx,BRONX,3,12-05376,2965,6,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,6,City,40935,1386 STEBBINS AVENUE ,40.8326487,-73.893796,,,,,,brooklyn,BROOKLYN,3,11-11947,1942,6,Private,40933,273 SKILLMAN STREET,40.6900095,-73.9560828,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11682,15605,340,Private,40921,CORNER BEACH    9 STREET & SEAGIRT AVENUE,40.596039,73.744032,,,,,,,,staten island,STATEN ISLAND,2,11-11819,2218,35,City,40933,200 GRAHAM AVENUE,40.609229,-74.169847
bronx,BRONX,3,12-05376,2965,7,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,7,City,40935,1386 STEBBINS AVENUE ,40.8326487,-73.893796,,,,,,brooklyn,BROOKLYN,3,11-11946,1942,9,Private,40933,267 SKILLMAN STREET,40.690121,-73.9560271,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11682,15605,350,Private,40921,CORNER BEACH,40.596039,73.754032,,,,,,,,staten island,STATEN ISLAND,2,11-11717,2359,1,City,41000,1670 FOREST HILL ROAD,40.580059,-74.1537079
bronx,BRONX,3,12-05376,2965,8,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,8,City,40935,1386 STEBBINS AVENUE ,40.8326487,-73.893796,,,,,,brooklyn,BROOKLYN,3,12-05328,1973,38,City,40939,96 QUINCY STREET,40.6859898,-73.9574046,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11682,15605,352,Private,40921,9 STREET & SEAGIRT AVENUE,40.596039,-73.734032,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05376,2965,13,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,13,City,40935,1386 STEBBINS AVENUE ,40.8326487,-73.893796,,,,,,brooklyn,BROOKLYN,4,12-05308,3232,42,City,40938,1280 MYRTLE AVENUE,40.69785,-73.92582,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11490,15817,50,Private,41061,2511 SEAGIRT AVENUE,40.5950024,-73.7589561,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05005,2979,1,City,41244,ADJ. 1208 SOUTHERN BOULEVARD betw LOUIS NINE BOULEVARD & HOME STREET,,,,,,,,bronx,BRONX,3,12-05005,2979,1,City,41244,1208 SOUTHERN BOULEVARD,40.8288048,-73.8915682,,,,,,brooklyn,BROOKLYN,4,12-05282,3285,71,City,40939,1177 GREENE AVENUE,40.6953209,-73.9224684,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11903,15819,79,City,41030,116 BEACH 27 STREET,40.592691,-73.759482,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05135,2980,4,Private,40932,ADJ. 1286 SOUTHERN BOULEVARD betw JENNINGS STREET & LOUIS NINE BOULEVARD,,,,,,,,bronx,BRONX,3,12-05135,2980,4,Private,40932,1286 SOUTHERN,40.830353,-73.891656,,,,,,brooklyn,BROOKLYN,4,12-05283,3296,58,City,40938,ADJ. 105 BLEECKER STREET betw CENTRAL AVENUE & EVERGREEN AVENUE,40.695333,-73.921358,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11881,15825,1,City,41183,323 BEACH 36 STREET,40.595765,-73.768925,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05133,2994,32,Private,40934,ADJ. 1437 BRYANT AVENUE betw JENNINGS STREET & BEND,,,,,,,,bronx,BRONX,3,12-05133,2994,32,Private,40934,1437 BRYANT AVENUE,40.8310848,-73.8885135,,,,,,brooklyn,BROOKLYN,4,12-05284,3342,42,City,40938,201 & 209 PALMETTO STREET,40.69478,-73.916027,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11881,15825,9,City,41183,BEACH CHANNEL DRIVE & ROCKAWAY BEACH BOULEVARD,40.5889257,-73.8164927,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,11-11795,2994,45,Private,40928,ADJ. 1411 BRYANT AVENUE betw JENNINGS STREET & BEND,,,,,,,,bronx,BRONX,3,11-11795,2994,45,Private,40928,1411 BRYANT AVENUE,40.8302774,-73.8890647,,,,,,brooklyn,BROOKLYN,4,12-05284,3342,43,City,40938,209 PALMETTO STREET,40.6947796,-73.916027,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11904,15837,47,City,41153,352 BEACH 45 STREET,40.7600071,-73.757937,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05008,2455,49,Private,40932,ADJ. 207 EAST 163 STREET betw SHERMAN AVENUE & SHERIDAN AVENUE,,,,,,,,bronx,BRONX,4,12-05008,2455,49,Private,40932,207 EAST 163 STREET,40.828052,-73.919786,,,,,,brooklyn,BROOKLYN,4,12-05252,3387,1,City,40939,1036 JEFFERSON AVENUE,40.6871915,-73.9169915,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11904,15837,49,City,41153,352 BEACH 47 STREET,40.594944,-73.777937,,,,,,,,,,,,,,,,,,
