Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,,,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,AddressBR,,,,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,AddressM,,,,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,AddressQ,,,,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,
bronx,BRONX,3,12-05377,2384,59,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,59,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,70,City,40934,BETWEEN 623 & 637 GREENE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05051,10224,17,Private,40935,BETWEEN 170-18 & 170-14 LIBERTY AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,23,Private,41061,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
bronx,BRONX,3,12-05377,2384,60,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,60,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,71,City,40934,BETWEEN 623 & 637 GREENE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,11-11485,12031,48,Private,41000,ADJ. 120-27 140 STREET betw 123 AVENUE & 120 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,24,Private,41061,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
bronx,BRONX,3,11-11226,2385,1,Private,41061,OPPOSITE OF 451 EAST 164 STREET betw WASHINGTON AVENUE & BROOK AVENUE,,,,,,,,bronx,BRONX,3,11-11226,2385,1,Private,41061,OPPOSITE OF 451 EAST 164 STREET betw WASHINGTON AVENUE & BROOK AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11854,1867,35,Private,41244,ADJ. 166 HERKIMER STREET betw NEW YORK AVENUE & NOSTRAND AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05343,13022,167,City,40938,ADJ. 136-18 WESTGATE STREET betw 137 AVENUE & 136 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,26,Private,41061,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
bronx,BRONX,3,11-11546,2745,40,Private,40926,BETWEEN 1147 & 1153 HOE AVENUE,,,,,,,,bronx,BRONX,3,11-11546,2745,40,Private,40926,BETWEEN 1147 & 1153 HOE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11880,1871,42,City,41183,ADJ. 446 HERKIMER STREET betw ALBANY AVENUE & KINGSTON AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,13,11-11319,10741,48,Private,41000,ADJ. 222-17 JAMAICA AVENUE betw 224 STREET & 222 STREET,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,30,Private,41061,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
bronx,BRONX,3,11-11546,2745,41,Private,40927,BETWEEN 1147 & 1153 HOE AVENUE,,,,,,,,bronx,BRONX,3,11-11546,2745,41,Private,40927,BETWEEN 1147 & 1153 HOE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11880,1871,43,City,41183,ADJ. 446 HERKIMER STREET betw ALBANY AVENUE & KINGSTON AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,13,11-11959,13266,39,City,41030,NEAR 246-19 SUNRISE HWY,,,,,,,,,,staten island,STATEN ISLAND,1,11-11870,2922,121,City,40934,NEAR 200 OSGOOD AVENUE betw IMPERIAL COURT & FAIRWAY AVENUE
bronx,BRONX,3,12-05376,2965,6,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,6,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,brooklyn,BROOKLYN,3,11-11947,1942,6,Private,40933,ADJ. 273 SKILLMAN STREET betw LAFAYETTE AVENUE & DE KALB AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11682,15605,340,Private,40921,CORNER BEACH    9 STREET & SEAGIRT AVENUE,,,,,,,,,,staten island,STATEN ISLAND,2,11-11819,2218,35,City,40933,OPPOSITE OF 200 GRAHAM AVENUE betw PAULDING AVENUE & MERRILL AVENUE
bronx,BRONX,3,12-05376,2965,7,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,7,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,brooklyn,BROOKLYN,3,11-11946,1942,9,Private,40933,ADJ. 267 SKILLMAN STREET betw LAFAYETTE AVENUE & DE KALB AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11682,15605,350,Private,40921,CORNER BEACH    9 STREET & SEAGIRT AVENUE,,,,,,,,,,staten island,STATEN ISLAND,2,11-11717,2359,1,City,41000,OPPOSITE OF 1670 FOREST HILL ROAD betw PIERPONT PLACE & RICHMOND HILL ROAD
bronx,BRONX,3,12-05376,2965,8,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,8,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,brooklyn,BROOKLYN,3,12-05328,1973,38,City,40939,ADJ. 96 QUINCY STREET betw FRANKLIN AVENUE & CLASSON AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11682,15605,352,Private,40921,CORNER BEACH    9 STREET & SEAGIRT AVENUE,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05376,2965,13,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,bronx,BRONX,3,12-05376,2965,13,City,40935,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET,,,,,,,,brooklyn,BROOKLYN,4,12-05308,3232,42,City,40938,ADJ. 1280 MYRTLE AVENUE betw DE KALB AVENUE & CEDAR STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11490,15817,50,Private,41061,REAR OF 2511 SEAGIRT AVENUE betw BEACH 26 STREET & BEACH 25 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05005,2979,1,City,41244,ADJ. 1208 SOUTHERN BOULEVARD betw LOUIS NINE BOULEVARD & HOME STREET,,,,,,,,bronx,BRONX,3,12-05005,2979,1,City,41244,ADJ. 1208 SOUTHERN BOULEVARD betw LOUIS NINE BOULEVARD & HOME STREET,,,,,,,,brooklyn,BROOKLYN,4,12-05282,3285,71,City,40939,ADJ. 1177 GREENE AVENUE betw CENTRAL AVENUE & EVERGREEN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11903,15819,79,City,41030,ADJ. 116 BEACH 27 STREET betw SEAGIRT AVENUE & BOARDWALK,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05135,2980,4,Private,40932,ADJ. 1286 SOUTHERN BOULEVARD betw JENNINGS STREET & LOUIS NINE BOULEVARD,,,,,,,,bronx,BRONX,3,12-05135,2980,4,Private,40932,ADJ. 1286 SOUTHERN BOULEVARD betw JENNINGS STREET & LOUIS NINE BOULEVARD,,,,,,,,brooklyn,BROOKLYN,4,12-05283,3296,58,City,40938,ADJ. 105 BLEECKER STREET betw CENTRAL AVENUE & EVERGREEN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11881,15825,1,City,41183,OPPOSITE OF 323 BEACH 36 STREET betw BEACH CHANNEL DRIVE & ROCKAWAY BEACH BOULEVARD,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,12-05133,2994,32,Private,40934,ADJ. 1437 BRYANT AVENUE betw JENNINGS STREET & BEND,,,,,,,,bronx,BRONX,3,12-05133,2994,32,Private,40934,ADJ. 1437 BRYANT AVENUE betw JENNINGS STREET & BEND,,,,,,,,brooklyn,BROOKLYN,4,12-05284,3342,42,City,40938,BETWEEN 201 & 209 PALMETTO STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11881,15825,9,City,41183,OPPOSITE OF 323 BEACH 36 STREET betw BEACH CHANNEL DRIVE & ROCKAWAY BEACH BOULEVARD,,,,,,,,,,,,,,,,,,
bronx,BRONX,3,11-11795,2994,45,Private,40928,ADJ. 1411 BRYANT AVENUE betw JENNINGS STREET & BEND,,,,,,,,bronx,BRONX,3,11-11795,2994,45,Private,40928,ADJ. 1411 BRYANT AVENUE betw JENNINGS STREET & BEND,,,,,,,,brooklyn,BROOKLYN,4,12-05284,3342,43,City,40938,BETWEEN 201 & 209 PALMETTO STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11904,15837,47,City,41153,OPPOSITE OF 352 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD,,,,,,,,,,,,,,,,,,
